episode,action_0,action_1,action_2,action_3,action_4
879,13,105,189,105,38
880,11,99,150,111,52
881,13,26,118,52,45
882,15,130,149,97,59
883,10,63,208,102,67
884,14,54,93,64,43
885,15,72,204,85,39
886,13,121,151,60,23
887,12,133,171,93,41
888,13,165,156,84,32
889,23,121,187,94,25
890,10,55,103,56,15
891,11,94,194,114,37
892,28,89,182,102,47
893,14,73,211,101,51
894,12,45,101,60,41
895,15,40,227,95,73
896,4,12,44,36,15
897,10,90,179,105,66
898,5,17,97,41,290
899,16,57,160,109,56
900,8,79,178,128,57
901,12,81,149,100,88
902,20,87,165,122,56
903,29,98,141,120,62
904,16,93,166,131,44
905,19,91,100,94,36
906,14,49,95,57,235
907,27,121,152,108,42
908,32,114,135,112,57
909,7,19,75,63,286
910,41,122,114,89,84
911,3,15,45,31,356
912,27,95,80,98,60
913,4,12,66,37,331
914,25,109,120,112,84
915,40,100,122,110,78
916,37,119,115,102,77
917,37,106,125,125,57
918,27,89,133,119,82
919,37,108,114,116,75
920,31,67,178,107,67
921,43,70,160,105,72
922,22,27,155,101,145
923,21,68,175,88,98
924,24,53,142,90,113
925,28,60,144,83,135
926,39,73,157,124,57
927,10,26,112,55,92
928,33,55,148,80,134
929,25,57,139,78,151
930,15,27,99,40,269
931,31,31,133,79,176
932,4,16,92,30,308
933,40,69,151,88,102
934,23,40,130,101,156
935,25,22,97,73,233
936,14,35,132,84,185
937,20,9,80,86,255
938,31,65,120,78,156
939,21,50,120,66,193
940,31,48,91,69,90
941,37,48,130,89,146
942,12,25,82,56,275
943,38,35,148,111,118
944,17,65,138,93,137
945,13,44,141,84,168
946,41,65,112,107,125
947,29,82,152,101,86
948,37,82,129,111,91
949,3,11,110,42,284
950,28,60,155,82,125
951,29,54,146,95,126
952,43,67,166,90,84
953,43,73,126,122,86
954,9,13,46,13,369
955,31,71,157,84,85
956,10,58,154,61,106
957,22,68,174,85,101
958,6,65,126,51,202
959,32,80,147,72,119
960,42,78,132,94,104
961,48,99,121,74,108
962,19,77,159,80,115
963,38,54,152,72,134
964,40,85,143,100,82
965,12,17,126,30,265
966,7,11,62,20,350
967,21,34,115,75,86
968,18,53,140,82,157
969,5,42,118,40,174
970,23,12,116,67,232
971,38,70,137,85,120
972,13,43,120,51,223
973,27,82,133,96,112
974,19,48,70,54,43
975,7,15,49,19,360
976,39,88,136,98,89
977,27,72,96,81,61
978,35,77,138,119,81
979,21,34,106,75,42
980,27,88,140,98,64
981,22,99,103,82,64
982,19,67,132,82,150
983,26,80,164,107,73
984,33,98,139,112,68
985,16,72,174,94,94
986,33,100,146,100,71
987,34,76,142,88,110
988,25,85,124,87,129
989,37,52,182,105,74
990,21,76,171,120,62
991,25,90,120,113,48
992,36,81,158,125,50
993,13,48,128,90,171
994,22,87,133,128,79
995,34,93,132,131,60
996,7,20,61,51,23
997,4,36,162,64,184
998,6,79,111,98,46
999,10,100,155,135,50
1000,13,61,171,124,81
1001,15,79,167,152,37
1002,11,51,75,72,17
1003,9,50,201,131,59
1004,8,70,200,112,60
1005,25,109,162,117,37
1006,15,89,175,135,36
1007,2,76,208,97,67
1008,4,57,106,64,27
1009,6,63,113,83,14
1010,4,96,99,69,21
1011,14,11,192,123,110
1012,6,87,164,89,22
1013,8,93,175,115,43
1014,1,18,51,31,11
1015,3,76,201,104,20
1016,1,50,197,78,14
1017,1,73,261,103,12
1018,1,10,76,12,12
1019,3,59,285,82,21
1020,3,52,154,68,24
1021,10,59,270,81,30
1022,1,18,55,18,4
1023,1,21,112,25,291
1024,2,62,265,77,44
1025,7,23,247,91,82
1026,4,53,68,39,11
1027,12,34,228,106,70
1028,15,112,138,137,48
1029,13,42,88,52,25
1030,1,17,40,23,6
1031,12,86,184,123,45
1032,3,24,127,43,21
1033,9,62,250,99,30
1034,6,61,237,99,47
1035,8,54,232,111,45
1036,12,65,177,66,38
1037,15,96,192,106,41
1038,4,45,233,58,110
1039,22,39,204,82,103
1040,19,83,199,84,65
1041,8,155,170,83,34
1042,10,75,222,100,43
1043,11,67,85,51,236
1044,5,54,105,49,23
1045,6,59,92,49,24
1046,15,138,175,72,50
1047,9,54,122,49,10
1048,2,15,52,25,24
1049,6,67,116,46,18
1050,3,28,29,20,10
1051,4,54,265,85,42
1052,12,81,231,89,37
1053,9,66,227,58,32
1054,9,53,201,107,80
1055,22,99,158,96,74
1056,3,251,75,90,31
1057,15,126,179,99,31
1058,8,97,187,108,50
1059,4,93,122,63,48
1060,3,148,194,67,38
1061,13,118,185,105,29
1062,8,32,80,39,13
1063,4,85,118,50,21
1064,8,93,206,120,23
1065,4,48,136,56,11
1066,0,44,151,46,16
1067,5,90,244,78,21
1068,4,109,232,78,27
1069,2,50,319,37,42
1070,2,22,73,10,7
1071,4,41,292,73,40
1072,3,40,78,18,8
1073,4,85,169,51,19
1074,4,40,244,62,22
1075,2,39,292,78,24
1076,1,13,220,19,197
1077,9,24,277,92,48
1078,2,59,234,61,20
1079,9,46,254,114,27
1080,0,9,39,7,4
1081,7,47,106,37,5
1082,12,80,204,114,40
1083,10,79,219,111,24
1084,12,69,194,110,19
1085,2,56,257,106,29
1086,2,15,49,25,5
1087,5,26,206,178,35
1088,4,83,226,127,10
1089,0,9,74,29,3
1090,2,15,54,31,6
1091,3,38,290,102,17
1092,8,38,235,146,23
1093,14,75,239,105,17
1094,8,61,249,112,20
1095,12,158,174,88,18
1096,9,152,184,89,16
1097,10,99,129,67,15
1098,12,164,160,86,22
1099,14,80,252,87,17
1100,8,69,233,132,8
1101,23,94,208,99,26
1102,10,63,169,91,19
1103,14,110,185,125,16
1104,5,26,37,13,3
1105,4,21,62,30,9
1106,18,73,230,101,28
1107,14,106,223,86,21
1108,12,57,127,50,15
1109,20,64,182,89,29
1110,27,92,225,83,23
1111,10,43,304,60,32
1112,22,95,238,79,16
1113,27,67,218,116,22
1114,1,30,257,59,20
1115,11,51,109,71,11
1116,9,42,112,56,7
1117,15,36,169,94,18
1118,4,49,268,34,31
1119,17,8,201,160,64
1120,11,54,269,93,23
1121,7,100,133,61,5
1122,15,91,259,69,16
1123,14,78,225,108,25
1124,5,9,119,82,23
1125,9,46,243,131,21
1126,5,54,174,72,14
1127,1,10,176,34,30
1128,16,33,173,173,55
1129,21,54,147,108,18
1130,4,20,137,74,215
1131,2,54,190,63,141
1132,12,45,109,95,10
1133,4,92,141,90,123
1134,6,51,87,37,4
1135,11,28,172,152,19
1136,15,26,222,164,23
1137,17,29,207,162,35
1138,20,33,148,121,16
1139,15,32,264,117,22
1140,27,110,139,146,28
1141,8,69,197,83,8
1142,10,27,80,58,7
1143,3,32,46,37,6
1144,19,55,248,107,21
