episode,has_crossed_door,got_key,opened_door,got_ball
887,0,1,0,0
888,0,1,0,0
889,0,1,0,0
890,0,0,0,0
891,0,1,0,0
892,0,1,0,0
893,0,1,0,0
894,1,1,1,0
895,0,1,0,0
896,0,1,0,0
897,0,1,0,0
898,0,1,0,0
899,0,1,0,0
900,0,1,0,0
901,1,1,1,1
902,0,1,0,0
903,1,1,0,0
904,0,1,0,0
905,0,1,1,0
906,0,1,0,0
907,0,1,0,0
908,1,1,1,0
909,0,1,0,0
910,1,1,1,0
911,0,1,0,0
912,0,1,1,0
913,0,0,0,0
914,0,0,0,0
915,1,1,1,1
916,1,1,1,0
917,1,1,1,1
918,1,1,1,0
919,1,1,1,1
920,1,1,1,0
921,1,1,1,0
922,1,1,1,1
923,0,1,0,0
924,0,1,0,0
925,1,1,1,1
926,1,1,1,0
927,1,1,1,0
928,0,1,0,0
929,0,1,0,0
930,0,1,0,0
931,1,1,1,0
932,0,1,0,0
933,1,1,1,0
934,0,1,0,0
935,0,1,0,0
936,1,1,1,0
937,0,1,1,0
938,1,1,1,0
939,1,1,1,0
940,0,1,0,0
941,1,1,1,0
942,1,1,1,0
943,0,1,0,0
944,0,1,0,0
945,1,1,1,1
946,1,1,1,1
947,0,1,0,0
948,0,1,0,0
949,1,1,1,0
950,1,1,1,1
951,1,1,1,1
952,0,1,0,0
953,0,1,0,0
954,0,1,0,0
955,0,1,0,0
956,0,1,0,0
957,0,1,0,0
958,1,1,1,0
959,0,0,0,0
960,0,1,0,0
961,0,1,0,0
962,1,1,1,0
963,1,1,0,1
964,0,1,0,0
965,0,1,0,0
966,0,1,0,0
967,0,1,0,0
968,0,1,0,0
969,1,1,1,0
970,0,1,0,0
971,0,1,0,0
972,0,1,1,0
973,1,1,1,0
974,1,1,1,1
975,0,0,0,0
976,0,1,0,0
977,1,1,1,1
978,0,1,0,0
979,0,1,1,0
980,1,1,1,0
981,0,1,0,0
982,0,1,0,0
983,1,1,1,0
984,1,1,1,1
985,1,1,1,0
986,1,1,1,1
987,0,0,0,0
988,1,1,1,0
989,1,1,1,1
990,1,1,0,0
991,0,1,0,0
992,0,1,0,0
993,0,1,0,0
994,1,1,1,1
995,0,1,0,0
996,0,1,0,0
997,1,1,1,1
998,1,1,1,0
999,0,1,0,0
1000,0,1,0,0
1001,0,1,0,0
1002,1,1,1,1
1003,1,1,1,0
1004,0,1,0,0
1005,0,1,0,0
1006,1,1,1,0
1007,0,1,0,0
