episode,action_0,action_1,action_2,action_3,action_4
1076,92,57,129,100,72
1077,57,49,166,98,80
1078,58,48,151,112,81
1079,34,39,192,82,103
1080,99,75,117,89,70
1081,79,70,117,111,73
1082,64,35,159,93,99
1083,81,58,128,95,88
1084,62,43,156,99,90
1085,41,40,182,90,97
1086,48,44,87,76,52
1087,67,51,146,108,78
1088,46,38,151,134,81
1089,19,16,226,100,89
1090,58,44,148,125,75
1091,82,64,129,106,69
1092,70,47,99,133,101
1093,86,63,110,121,70
1094,15,20,170,124,121
1095,54,44,149,103,100
1096,99,77,104,106,64
1097,73,85,112,94,86
1098,56,58,135,116,85
1099,58,52,127,122,91
1100,80,75,112,107,76
1101,81,74,105,103,87
1102,68,56,109,115,102
1103,53,51,131,102,113
1104,42,62,116,128,102
1105,91,66,99,97,97
1106,25,43,145,103,134
1107,103,61,85,106,95
1108,81,70,85,111,103
1109,81,71,110,87,101
1110,86,69,90,88,117
1111,42,51,129,92,136
1112,68,89,91,92,110
1113,106,78,77,98,91
1114,51,55,108,109,127
1115,97,70,82,81,99
1116,61,37,102,119,131
1117,33,35,137,88,157
1118,122,79,72,73,104
1119,56,55,122,94,123
1120,97,57,90,92,114
1121,81,57,102,84,126
1122,106,63,87,93,101
1123,73,77,92,96,112
1124,59,55,122,85,129
1125,100,75,81,95,99
1126,69,92,92,97,100
1127,55,74,106,91,124
1128,53,65,100,84,148
1129,93,63,104,87,103
1130,105,77,84,90,94
1131,85,73,86,89,117
1132,67,60,106,88,129
1133,62,82,116,98,92
1134,55,47,127,94,127
1135,98,42,109,96,105
1136,55,60,111,110,114
1137,43,35,142,107,123
1138,80,48,122,88,112
1139,27,11,116,94,85
1140,53,37,133,118,109
1141,53,32,144,98,123
1142,40,28,74,61,62
1143,43,28,149,125,105
1144,13,8,241,74,114
