episode,action_0,action_1,action_2,action_3,action_4
1009,32,81,130,96,111
1010,38,92,138,93,89
1011,30,54,162,82,122
1012,38,75,153,78,106
1013,47,126,101,85,91
1014,70,112,103,90,75
1015,48,124,102,82,94
1016,61,106,95,65,81
1017,48,85,145,87,85
1018,54,98,114,94,90
1019,53,85,118,103,91
1020,61,112,105,85,87
1021,46,88,123,97,96
1022,68,121,86,80,95
1023,59,110,113,97,71
1024,40,81,133,86,110
1025,25,86,171,75,93
1026,47,108,118,103,74
1027,42,93,146,77,92
1028,53,101,145,86,65
1029,39,76,144,97,94
1030,59,127,113,93,58
1031,56,99,136,85,74
1032,21,79,166,91,93
1033,53,118,115,89,75
1034,56,124,108,87,67
1035,53,90,136,80,91
1036,37,78,157,99,79
1037,36,105,161,86,62
1038,38,78,142,108,84
1039,56,92,127,108,67
1040,53,104,111,120,62
1041,25,70,74,50,41
1042,37,91,157,96,69
1043,37,115,150,85,63
1044,39,92,158,93,68
1045,47,130,118,92,63
1046,61,103,123,116,47
1047,45,105,130,91,79
1048,49,59,174,95,73
1049,52,124,111,105,58
1050,43,137,115,96,59
1051,20,64,189,99,78
1052,50,104,109,121,66
1053,31,71,169,97,82
1054,24,45,187,123,71
1055,38,57,172,124,59
1056,44,88,133,114,71
1057,34,74,160,118,64
1058,34,73,164,121,58
1059,50,93,118,114,75
1060,50,104,138,90,68
1061,73,88,140,94,55
1062,55,75,153,115,52
1063,59,108,109,114,60
1064,39,49,180,114,68
1065,45,71,147,117,70
1066,35,41,196,114,64
1067,57,92,116,107,78
1068,42,95,114,131,68
1069,60,114,101,107,68
1070,53,108,115,117,57
1071,45,70,150,121,64
1072,52,118,103,109,68
1073,52,80,134,109,75
1074,55,75,146,102,72
1075,40,59,170,106,75
1076,57,104,125,109,55
1077,36,62,192,99,61
1078,46,62,159,122,61
1079,39,45,199,94,73
1080,48,93,139,97,73
1081,48,118,125,99,60
1082,27,48,185,117,73
1083,29,47,223,93,58
1084,26,78,145,117,84
1085,29,58,180,99,84
1086,39,96,158,93,64
1087,30,71,207,83,59
1088,21,58,105,71,40
1089,25,31,240,93,61
1090,29,92,159,101,69
1091,36,86,166,104,58
1092,26,42,158,67,35
1093,26,92,165,83,84
1094,12,31,266,74,67
1095,24,60,222,85,59
1096,19,60,174,70,44
1097,10,39,254,72,75
1098,24,68,213,75,70
1099,5,25,107,33,38
1100,10,25,281,60,74
1101,33,89,188,73,67
1102,26,105,177,68,74
1103,24,101,152,85,88
1104,38,91,169,85,67
1105,41,67,188,88,66
1106,10,30,143,45,46
1107,36,76,184,81,73
1108,38,77,184,96,55
1109,50,106,168,73,53
1110,46,122,141,72,69
1111,15,48,241,64,82
1112,35,59,181,94,81
1113,43,93,168,80,66
1114,22,54,130,81,67
1115,41,95,146,98,70
1116,56,114,116,92,72
1117,43,89,157,88,73
1118,39,116,132,96,67
1119,33,74,167,96,80
1120,37,79,168,100,66
1121,53,119,115,88,75
1122,63,108,116,86,77
1123,48,91,129,95,87
1124,47,90,161,93,59
1125,47,89,166,100,48
1126,56,96,136,93,69
1127,50,74,168,94,64
1128,62,103,132,98,55
1129,18,35,82,51,21
1130,40,104,147,97,62
1131,64,121,111,84,60
1132,36,70,173,96,75
1133,47,105,153,87,58
1134,47,106,135,95,67
1135,33,80,190,99,48
1136,38,77,188,84,63
1137,44,85,191,70,60
1138,26,47,217,91,69
1139,29,45,214,78,84
1140,43,97,152,105,53
1141,47,95,136,111,61
1142,52,113,138,99,48
1143,54,126,129,80,61
1144,38,85,169,96,62
